stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1142,52003,"Mission Blvd & Dalgo Rd", ,37.554146,-121.946844,E,https://www.actransit.org/stop/52003, , , ,0
1143,52243,"Mission Blvd & Castro Ln", ,37.550244,-121.940353,E,https://www.actransit.org/stop/52243, , , ,0
1144,57260,"Mission Blvd & Driscoll Rd", ,37.549381,-121.939409,E,https://www.actransit.org/stop/57260, , , ,0
1145,53230,"Mission Blvd & Esparito Av", ,37.551578,-121.942385,E,https://www.actransit.org/stop/53230, , , ,0
1146,53228,"Mission Blvd & Hunter Ln", ,37.520326,-121.918055,E,https://www.actransit.org/stop/53228, , , ,0
1147,54998,"Mission Blvd & I-680 Fwy", ,37.540176,-121.923947,E,https://www.actransit.org/stop/54998, , , ,0
1148,56520,"Mission Blvd & I-680 Fwy", ,37.539106,-121.923628,E,https://www.actransit.org/stop/56520, , , ,0
1149,52725,"Mission Blvd & Las Palmas Av", ,37.557906,-121.952873,E,https://www.actransit.org/stop/52725, , , ,0
1150,52006,"Mission Blvd & Las Palmas Av", ,37.558411,-121.953197,E,https://www.actransit.org/stop/52006, , , ,0
1151,56530,"Mission Blvd & Mackintosh St", ,37.554245,-121.946490,E,https://www.actransit.org/stop/56530, , , ,0
1152,55072,"Mission Blvd & Mill Creek Rd", ,37.537579,-121.922047,E,https://www.actransit.org/stop/55072, , , ,0
1153,55277,"Mission Blvd & Mohave Dr", ,37.491154,-121.927571,E,https://www.actransit.org/stop/55277, , , ,0
1154,56590,"Mission Blvd & Nursery Av", ,37.580688,-121.990760,E,https://www.actransit.org/stop/56590, , , ,0
1155,54570,"Mission Blvd & Nursery Av", ,37.580997,-121.990784,E,https://www.actransit.org/stop/54570, , , ,0
1156,53199,"Mission Blvd & Ondina Dr", ,37.551266,-121.942423,E,https://www.actransit.org/stop/53199, , , ,0
1157,58799,"Mission Blvd & Orchard Dr", ,37.571650,-121.967376,E,https://www.actransit.org/stop/58799, , , ,0
1158,55338,"Mission Blvd & Palm Av (Mission San Jose High)", ,37.545116,-121.932092,E,https://www.actransit.org/stop/55338, , , ,0
1159,59558,"Mission Blvd & Palm Av (Mission San Jose High)", ,37.545412,-121.932056,E,https://www.actransit.org/stop/59558, , , ,0
1160,52009,"Mission Blvd & Paseo Padre Pkwy", ,37.500898,-121.919361,E,https://www.actransit.org/stop/52009, , , ,0
1161,55073,"Mission Blvd & Paseo Padre Pkwy", ,37.499915,-121.919647,E,https://www.actransit.org/stop/55073, , , ,0
1162,59800,"Mission Blvd & Pine St", ,37.525790,-121.917704,E,https://www.actransit.org/stop/59800, , , ,0
1163,54580,"Mission Blvd & Starr St", ,37.537748,-121.922410,E,https://www.actransit.org/stop/54580, , , ,0
1164,53430,"Mission Blvd & Stevenson Blvd", ,37.561261,-121.957502,E,https://www.actransit.org/stop/53430, , , ,0
1165,55079,"Mission Blvd & Stevenson Blvd", ,37.560137,-121.956488,E,https://www.actransit.org/stop/55079, , , ,0
1166,52780,"Mission Blvd & Via San Dimas", ,37.542344,-121.926853,E,https://www.actransit.org/stop/52780, , , ,0
1167,53780,"Mission Blvd & Via San Dimas", ,37.542163,-121.927012,E,https://www.actransit.org/stop/53780, , , ,0
1168,56603,"Mission Blvd & Washington Blvd", ,37.533518,-121.920200,E,https://www.actransit.org/stop/56603, , , ,0
1169,53053,"Mission Blvd & Washington Blvd", ,37.534751,-121.920303,E,https://www.actransit.org/stop/53053, , , ,0
1170,50766,"Mowry Av & Argonaut Way", ,37.545674,-121.991025,E,https://www.actransit.org/stop/50766, , , ,0
1171,56609,"Mowry Av & Glenview Dr", ,37.538581,-121.996821,E,https://www.actransit.org/stop/56609, , , ,0
1172,54520,"Mowry Av & Logan Dr", ,37.542932,-121.993241,E,https://www.actransit.org/stop/54520, , , ,0
1173,52752,"2557 Mowry Av", ,37.556013,-121.982581,E,https://www.actransit.org/stop/52752, , , ,0
1174,57290,"300 Mowry Av", ,37.568633,-121.970662,E,https://www.actransit.org/stop/57290, , , ,0
1175,53573,"Mowry Av & Alpenrose Ct", ,37.527178,-122.005643,E,https://www.actransit.org/stop/53573, , , ,0
1176,57880,"Mowry Av & Argonaut Way", ,37.545961,-121.990312,E,https://www.actransit.org/stop/57880, , , ,0
1177,52844,"Mowry Av & Blacow Rd", ,37.537025,-121.998111,E,https://www.actransit.org/stop/52844, , , ,0
1178,54760,"Mowry Av & Bonner Av", ,37.562274,-121.978948,E,https://www.actransit.org/stop/54760, , , ,0
1179,57820,"Mowry Av & Bonner Av", ,37.562548,-121.978591,E,https://www.actransit.org/stop/57820, , , ,0
1180,52203,"Mowry Av & Cherry Ln", ,37.567548,-121.973080,E,https://www.actransit.org/stop/52203, , , ,0
1181,53328,"Mowry Av & Cherry Ln", ,37.567364,-121.972928,E,https://www.actransit.org/stop/53328, , , ,0
1182,55780,"Mowry Av & Farwell Dr", ,37.534111,-122.000481,E,https://www.actransit.org/stop/55780, , , ,0
1183,52577,"Mowry Av & Farwell Dr", ,37.534352,-121.999794,E,https://www.actransit.org/stop/52577, , , ,0
1184,53030,"Mowry Av & Lexington St", ,37.549560,-121.987369,E,https://www.actransit.org/stop/53030, , , ,0
1185,50504,"Mowry Av & Fremont Blvd", ,37.547774,-121.988866,E,https://www.actransit.org/stop/50504, , , ,0
1186,55009,"Mowry Av & Fremont Blvd", ,37.548169,-121.988980,E,https://www.actransit.org/stop/55009, , , ,0
1187,54530,"Mowry Av & Guardino Dr", ,37.566037,-121.975271,E,https://www.actransit.org/stop/54530, , , ,0
1188,54590,"Mowry Av & Guardino Dr", ,37.565924,-121.976018,E,https://www.actransit.org/stop/54590, , , ,0
1189,54771,"Mowry Av & Hastings St", ,37.553558,-121.984106,E,https://www.actransit.org/stop/54771, , , ,0
1190,50711,"Mowry Av & Lexington St", ,37.550603,-121.986983,E,https://www.actransit.org/stop/50711, , , ,0
1191,53844,"Mowry Av & Mission Blvd", ,37.572419,-121.968663,E,https://www.actransit.org/stop/53844, , , ,0
1192,58044,"Mowry Av & Parkside Dr (Washington Hosp.Emer.Ent.)", ,37.558742,-121.979862,E,https://www.actransit.org/stop/58044, , , ,0
1193,57360,"Mowry Av & Parkside Dr", ,37.558869,-121.980231,E,https://www.actransit.org/stop/57360, , , ,0
1194,55215,"Mowry Av & Paseo Padre Pkwy", ,37.554446,-121.983849,E,https://www.actransit.org/stop/55215, , , ,0
1195,52206,"Mowry Av & Paseo Padre Pkwy", ,37.555546,-121.982494,E,https://www.actransit.org/stop/52206, , , ,0
1196,55097,"Mowry Av & State St", ,37.551271,-121.985977,E,https://www.actransit.org/stop/55097, , , ,0
1197,57830,"Ardenwood Blvd & Fwy 84", ,37.551845,-122.052400,E,https://www.actransit.org/stop/57830, , , ,0
1198,52209,"37395 Niles Blvd", ,37.577135,-121.980187,E,https://www.actransit.org/stop/52209, , , ,0
1199,57860,"Niles Blvd & E St", ,37.578048,-121.984157,E,https://www.actransit.org/stop/57860, , , ,0
1200,57390,"Niles Blvd & E St", ,37.578153,-121.984039,E,https://www.actransit.org/stop/57390, , , ,0
1201,58670,"Niles Blvd & El Portal Av", ,37.581770,-122.000278,E,https://www.actransit.org/stop/58670, , , ,0
1202,57561,"Niles Blvd & El Portal Av", ,37.581499,-122.000254,E,https://www.actransit.org/stop/57561, , , ,0
1203,56701,"Niles Blvd & F St", ,37.577730,-121.982753,E,https://www.actransit.org/stop/56701, , , ,0
1204,58144,"Niles Blvd & H St", ,37.577175,-121.979607,E,https://www.actransit.org/stop/58144, , , ,0
1205,57562,"Niles Blvd & Hillview Dr", ,37.579189,-121.988487,E,https://www.actransit.org/stop/57562, , , ,0
1206,56712,"Niles Blvd & Hillview Dr", ,37.578807,-121.987464,E,https://www.actransit.org/stop/56712, , , ,0
1207,53360,"Niles Blvd & J St", ,37.576308,-121.976586,E,https://www.actransit.org/stop/53360, , , ,0
1208,52261,"Niles Blvd & J St", ,37.576470,-121.976558,E,https://www.actransit.org/stop/52261, , , ,0
1209,56723,"Niles Blvd & Nursery Av", ,37.579507,-121.990413,E,https://www.actransit.org/stop/56723, , , ,0
1210,54310,"Niles Blvd & Nursery Av", ,37.579779,-121.990713,E,https://www.actransit.org/stop/54310, , , ,0
1211,50780,"Niles Blvd & Torrano Com (East Jctn)", ,37.580399,-121.993926,E,https://www.actransit.org/stop/50780, , , ,0
1213,58244,"Niles Blvd & Vallejo St", ,37.576019,-121.972335,E,https://www.actransit.org/stop/58244, , , ,0
1214,56619,"Niles Blvd & Vallejo St", ,37.575679,-121.972561,E,https://www.actransit.org/stop/56619, , , ,0
1215,57850,"Niles Blvd & F St", ,37.577838,-121.982730,E,https://www.actransit.org/stop/57850, , , ,0
1220,57563,"Ohlone College Key C", ,37.528604,-121.913530,E,https://www.actransit.org/stop/57563, , , ,0
1221,55526,"Ohlone College-Key C", ,37.528350,-121.913386,E,https://www.actransit.org/stop/55526, , , ,0
1222,50788,"Ohlone College-Key D", ,37.530161,-121.911290,E,https://www.actransit.org/stop/50788, , , ,0
1223,57261,"Osgood Rd & Auto Mall Pkwy", ,37.513047,-121.942289,E,https://www.actransit.org/stop/57261, , , ,0
1224,55172,"Osgood Rd & Auto Mall Pkwy", ,37.512875,-121.941822,E,https://www.actransit.org/stop/55172, , , ,0
1225,58644,"Osgood Rd & Blacow Rd", ,37.525275,-121.949510,E,https://www.actransit.org/stop/58644, , , ,0
1226,57569,"Osgood Rd & Blacow Rd", ,37.525596,-121.949415,E,https://www.actransit.org/stop/57569, , , ,0
1227,52263,"Osgood Rd & Osgood Ct", ,37.515923,-121.944030,E,https://www.actransit.org/stop/52263, , , ,0
1228,55173,"Osgood Rd & Osgood Ct", ,37.516031,-121.943761,E,https://www.actransit.org/stop/55173, , , ,0
1229,57920,"Osgood Rd & Prune Av", ,37.506933,-121.938484,E,https://www.actransit.org/stop/57920, , , ,0
1231,57263,"Osgood Rd & Washington Blvd", ,37.532227,-121.953296,E,https://www.actransit.org/stop/57263, , , ,0
1232,57930,"Page Av & Kato Rd", ,37.468139,-121.926992,E,https://www.actransit.org/stop/57930, , , ,0
1233,57960,"Page Av & Milmont St", ,37.468721,-121.925336,E,https://www.actransit.org/stop/57960, , , ,0
1234,56070,"Paseo Padre Pkwy & Blackstone Way", ,37.572937,-122.042947,E,https://www.actransit.org/stop/56070, , , ,0
1235,55498,"Paseo Padre Pkwy & Blackstone Way", ,37.573701,-122.042008,E,https://www.actransit.org/stop/55498, , , ,0
1236,58853,"Paseo Padre Pkwy & Bowling Green Common", ,37.577152,-122.039406,E,https://www.actransit.org/stop/58853, , , ,0
1237,59370,"Paseo Padre Pkwy & Chadbourne Dr", ,37.539678,-121.944276,E,https://www.actransit.org/stop/59370, , , ,0
1238,56629,"Paseo Padre Pkwy & Chaucer Dr", ,37.581066,-122.032998,E,https://www.actransit.org/stop/56629, , , ,0
1239,57560,"Paseo Padre Pkwy & Country Dr", ,37.556421,-121.986964,E,https://www.actransit.org/stop/57560, , , ,0
1240,55179,"Paseo Padre Pkwy & Country Dr", ,37.557033,-121.987591,E,https://www.actransit.org/stop/55179, , , ,0
1241,59720,"Paseo Padre Pkwy & Covington Dr", ,37.538657,-121.939587,E,https://www.actransit.org/stop/59720, , , ,0
1242,50180,"Paseo Padre Pkwy & Cree Rd", ,37.508917,-121.928626,E,https://www.actransit.org/stop/50180, , , ,0
1243,50890,"Paseo Padre Pkwy & Darwin Dr", ,37.580007,-122.031314,E,https://www.actransit.org/stop/50890, , , ,0
1244,59730,"Paseo Padre Pkwy & Darwin Dr", ,37.580234,-122.031215,E,https://www.actransit.org/stop/59730, , , ,0
1245,53100,"Paseo Padre Pkwy & Deep Creek Rd", ,37.567947,-122.051551,E,https://www.actransit.org/stop/53100, , , ,0
1246,51514,"Paseo Padre Pkwy & Deep Creek Rd", ,37.567603,-122.052844,E,https://www.actransit.org/stop/51514, , , ,0
1247,50845,"Paseo Padre Pkwy & Driscoll Rd", ,37.540940,-121.947841,E,https://www.actransit.org/stop/50845, , , ,0
1248,59780,"Paseo Padre Pkwy & Eggers Dr", ,37.558339,-121.990814,E,https://www.actransit.org/stop/59780, , , ,0
1249,52269,"Paseo Padre Pkwy & Ethel St (Near Eggers Dr)", ,37.558876,-121.991267,E,https://www.actransit.org/stop/52269, , , ,0
1250,51766,"Paseo Padre Pkwy & Fremont Blvd", ,37.575599,-122.040572,E,https://www.actransit.org/stop/51766, , , ,0
1251,57551,"Paseo Padre Pkwy & Fremont Blvd", ,37.574643,-122.041635,E,https://www.actransit.org/stop/57551, , , ,0
1252,51845,"Paseo Padre Pkwy & Indian Hill Pl", ,37.503239,-121.924961,E,https://www.actransit.org/stop/51845, , , ,0
1253,52845,"Paseo Padre Pkwy & Kokoma Rd", ,37.509031,-121.929111,E,https://www.actransit.org/stop/52845, , , ,0
1254,54650,"Paseo Padre Pkwy & Langhorn Dr", ,37.580948,-122.036843,E,https://www.actransit.org/stop/54650, , , ,0
1255,59958,"Paseo Padre Pkwy & Milton St", ,37.577105,-122.039788,E,https://www.actransit.org/stop/59958, , , ,0
1256,52370,"Paseo Padre Pkwy & Mission Blvd", ,37.500252,-121.919831,E,https://www.actransit.org/stop/52370, , , ,0
1258,56080,"Paseo Padre Pkwy & Mission View Dr", ,37.545404,-121.965711,E,https://www.actransit.org/stop/56080, , , ,0
1259,50244,"Paseo Padre Pkwy & Mission View Dr", ,37.544784,-121.965177,E,https://www.actransit.org/stop/50244, , , ,0
1261,56631,"Paseo Padre Pkwy & Mowry Av", ,37.555186,-121.984007,E,https://www.actransit.org/stop/56631, , , ,0
